Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Klang,84.8,600,steel,none,114.1,137.8,125,1964847,31.5,1498,Metal Sound,Vise Grip,Thunderbolt,5,7,5,75000
Cetitan,84.7,975,ice,none,120.2,77.1,202,1870752,18,1500,Powder Snow,Icicle Spear,Superpower,5,5,3,50000
Vespiquen,84.7,416,bug,flying,108.9,143.5,132,2061993,28,1499,Fury Cutter,X-Scissor,Power Gem,10,13,3,50000
Amoonguss (Shadow),84.6,591,grass,poison,109.3,105.9,177,2049605,26.5,1498,Astonish,Grass Knot,Foul Play,5,4,3,50000
Ampharos (Shadow),84.6,181,electric,none,126.8,107.9,129,1766112,19.5,1497,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Mightyena (Shadow),84.6,262,dark,none,125.9,105.8,133,1770707,29,1497,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Runerigus,84.6,867,ground,ghost,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Shadow Ball,Rock Tomb,7,7,3,50000
Victreebel (Shadow),84.6,71,grass,poison,135.2,93.5,131,1656351,23,1498,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Dachsbun,84.5,927,fairy,none,113.5,156.1,112,1983841,26.5,1500,Charm,Psychic Fangs,Play Rough,5,8,3,50000
Dedenne,84.5,702,electric,fairy,124.4,109,133,1803653,30,1498,Thunder Shock,Discharge,Play Rough,5,7,3,50000
Drampa,84.5,780,normal,dragon,136.8,104.2,115,1640140,19,1499,Dragon Breath,Swift,Dragon Pulse,9,14,5,75000
Gliscor,84.5,472,ground,flying,115.7,144.5,116,1938911,21,1499,Wing Attack,Sand Tomb,Acrobatics,5,7,5,75000
Samurott (Hisuian),84.5,503,water,dark,132.6,96.8,132,1694230,20,1499,Fury Cutter,Sacred Sword,Icy Wind,9,12,3,10000
Whiscash,84.5,340,water,ground,107.6,108.3,178,2073839,27,1495,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Castform,84.4,351,normal,none,112.6,121.3,146,1993800,39.5,1500,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Cetoddle,84.4,974,ice,none,112.6,79.8,213,1914594,50,1469,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Dragonite (Shadow),84.4,149,dragon,flying,135.8,107.3,113,1647398,14.5,1498,Dragon Breath,Thunder Punch,Superpower,10,10,5,75000
Gallade,84.4,475,psychic,fighting,136.6,115.6,104,1642368,18,1499,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Kingambit,84.4,983,dark,steel,127.3,112,124,1768045,15.5,1500,Metal Sound,Foul Play,Iron Head,5,7,5,75000
Tinkatuff,84.4,958,fairy,steel,104.2,134.4,149,2087357,50,1477,Fairy Wind,Play Rough,Flash Cannon,7,8,3,75000
Machamp,84.3,68,fighting,none,135.5,98.6,124,1656376,18,1498,Karate Chop*,Cross Chop,Rock Slide,4,5,3,50000
Qwilfish (Shadow),84.3,211,water,poison,131.2,105.5,123,1702587,27,1497,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Victreebel,84.3,71,grass,poison,135.2,93.5,131,1656351,23,1498,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Articuno,84.2,144,ice,flying,112.6,139.6,126,1981151,18.5,1496,Powder Snow,Icy Wind,Hurricane*,6,9,20,100000
Electrode (Hisuian),84.2,101,electric,grass,123.3,128.7,115,1825336,26,1500,Thunder Shock,Wild Charge,Swift,5,4,3,50000
Grimmsnarl,84.2,861,dark,fairy,136.3,90.8,133,1646354,19.5,1499,Sucker Punch,Foul Play,Play Rough,6,9,5,50000
Rufflet,84.2,627,normal,flying,126.7,92.2,152,1774904,46.5,1500,Peck,Brave Bird,Fly,7,6,5,75000
Uxie,84.2,480,psychic,none,102.1,176.1,122,2193759,22,1497,Confusion,Swift,Thunder,3,5,20,100000
Venusaur,84.2,3,grass,poison,122.2,122.2,123,1835969,20.5,1500,Vine Whip,Frenzy Plant*,Sludge,6,5,3,10000
Amaura (Shadow),84.1,698,rock,ice,114.3,104.2,165,1964777,50,1500,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Arctibax,84.1,997,dragon,ice,122.9,98.6,151,1828678,27,1500,Dragon Breath,Avalanche,Dragon Claw,12,13,5,75000
Blaziken,84.1,257,fire,fighting,143.9,90.8,119,1555953,19.5,1497,Ember,Aura Sphere,Blast Burn*,5,6,3,10000
Mawile (Shadow),84.1,303,steel,fairy,124.8,120.8,119,1793917,39,1497,Fairy Wind,Vise Grip,Iron Head,5,6,5,75000
Qwilfish,84.1,211,water,poison,131.2,105.5,123,1702587,27,1497,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Togedemaru,84.1,777,electric,steel,132.2,107.3,120,1701782,25.5,1500,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Wailmer,84.1,320,water,none,116.6,68.3,242,1926826,48.5,1499,Rollout,Scald,Body Slam,4,3,1,10000
Bellossom (Shadow),84,182,grass,none,115.1,132.2,128,1947512,24.5,1498,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Jumpluff (Shadow),84,189,grass,flying,96.7,157,153,2322994,40.5,1499,Fairy Wind,Aerial Ace,Acrobatics*,5,7,3,50000
Overqwil,84,904,dark,poison,131,106.9,122,1708017,18.5,1498,Poison Sting,Aqua Tail,Shadow Ball,4,6,5,75000
Trumbeak (Shadow),84,732,normal,flying,133.7,94.3,132,1664964,46,1492,Peck,Drill Peck,Rock Blast,5,5,1,10000
Wartortle,84,8,water,none,107.6,139.1,139,2080282,47.5,1496,Water Gun,Aqua Jet,Ice Beam,14,19,3,10000
Coalossal,83.9,839,rock,fire,98.2,139.4,167,2285184,24,1500,Fire Spin,Rock Slide,Flame Charge,5,5,3,10000
Raikou (Shadow),83.9,243,electric,none,133.6,109.9,113,1659339,15.5,1489,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Scizor,83.9,212,bug,steel,137.9,112,105,1622257,18.5,1500,Bullet Punch,Night Slash,Trailblaze,5,7,5,75000
Throh,83.9,538,fighting,none,110.3,107.8,171,2032228,22,1499,Low Kick,Brick Break,Body Slam,5,5,5,75000
Gliscor (Shadow),83.8,472,ground,flying,115.7,144.5,116,1938911,21,1499,Wing Attack,Sand Tomb,Acrobatics,5,7,5,75000
Jirachi,83.8,385,steel,psychic,120.5,119.4,129,1855163,16.5,1498,Confusion,Doom Desire,Aura Sphere,3,3,20,100000
Whiscash (Shadow),83.8,340,water,ground,107.6,108.3,178,2073839,27,1495,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Hippopotas,83.7,449,ground,none,115.1,111.8,152,1955620,50,1500,Sand Attack,Rock Tomb,Body Slam,13,9,3,50000
Cofagrigus,83.6,563,ghost,none,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Shadow Ball,Return<sup>†</sup>,7,9,3,50000
Marshtomp (Shadow),83.6,259,water,ground,120.4,111.4,139,1864979,33.5,1500,Mud Shot,Surf,Sludge,5,5,3,10000
Oinkologne,83.6,916,normal,none,117.7,101.6,159,1900828,21.5,1496,Mud Slap*,Body Slam,Trailblaze,4,5,1,10000
Slowbro,83.6,80,water,psychic,113.4,120.9,144,1974848,22,1500,Confusion,Drain Punch,Ice Beam,3,4,3,50000
Trevenant (Shadow),83.6,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Shadow Ball,Seed Bomb,7,5,5,75000
Wailmer (Shadow),83.6,320,water,none,116.6,68.3,242,1926826,48.5,1499,Rollout,Scald,Body Slam,4,3,1,10000
Zapdos,83.6,145,electric,flying,135.7,104.7,115,1633229,15.5,1493,Thunder Shock*,Drill Peck,Heat Wave,5,5,20,100000
Hypno (Shadow),83.5,97,psychic,none,103.4,143,147,2174050,27,1500,Confusion,Thunder Punch,Ice Punch,3,3,3,50000
Latias (Shadow),83.5,380,dragon,psychic,126.8,135.2,103,1764672,15.5,1500,Dragon Breath,Aura Sphere,Mist Ball*,10,15,20,100000
Mightyena,83.5,262,dark,none,125.9,105.8,133,1770707,29,1497,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Piloswine (Shadow),83.5,221,ice,ground,121.1,99.5,154,1854684,24,1500,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Urshifu (Single Strike),83.5,892,fighting,dark,136.6,97.8,121,1616195,15,1489,Sucker Punch,Brick Break,Dynamic Punch,6,7,20,100000
Blaziken (Shadow),83.4,257,fire,fighting,143.9,90.8,119,1555953,19.5,1497,Ember,Aura Sphere,Blast Burn*,5,6,3,10000
Cresselia (Shadow),83.4,488,psychic,none,92,159,160,2339924,19,1467,Psycho Cut,Grass Knot*,Moonblast,6,7,20,100000
Flamigo,83.4,973,flying,fighting,138,95.6,123,1622436,20,1500,Wing Attack,Upper Hand,Brave Bird,5,7,3,75000
Ursaring (Shadow),83.4,217,normal,none,139.6,91.4,126,1607158,18.5,1500,Shadow Claw,Close Combat,Swift,6,5,3,50000
Scrafty,83.3,560,dark,fighting,110.4,156.7,117,2024611,24.5,1495,Counter,Foul Play,Upper Hand,7,7,3,50000
Piloswine,83.2,221,ice,ground,121.1,99.5,154,1854684,24,1500,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Froslass,83.1,478,ice,ghost,122.6,114.9,130,1831027,27.5,1499,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Lucario,83.1,448,fighting,steel,145.8,93.7,113,1544133,20.5,1500,Force Palm*,Aura Sphere,Shadow Ball,4,5,5,75000
Barbaracle,83,689,rock,water,121,133.1,115,1851007,20.5,1499,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Golurk (Shadow),83,623,ground,ghost,133.3,98.5,128,1681024,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Munchlax,83,446,normal,none,103.2,96.6,218,2172279,30,1499,Tackle,Body Slam,Bulldoze,12,15,5,10000
Sandshrew (Alolan),83,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Gyro Ball,5,7,3,50000
Aromatisse,82.9,683,fairy,none,115.8,107.3,156,1939437,24,1500,Charm,Psyshock,Moonblast,5,8,3,50000
Castform (Snowy),82.9,351,ice,none,112.6,121.3,146,1993800,39.5,1500,Powder Snow,Weather Ball (Ice),Blizzard,5,10,5,75000
Drifblim,82.9,426,ghost,flying,119.2,75.8,209,1886853,23.5,1500,Hex,Icy Wind,Shadow Ball,4,4,5,75000
Skuntank,82.9,435,poison,dark,121.7,95.2,158,1831135,23.5,1493,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Decidueye (Hisuian),82.8,724,grass,fighting,126.9,109.5,127,1764738,19,1499,Psycho Cut,Trailblaze,Aura Sphere,5,5,3,10000
Glalie,82.8,362,ice,none,115.2,120.8,140,1948427,27,1499,Rollout,Avalanche,Shadow Ball,4,4,3,50000
Tentacruel (Shadow),82.8,73,water,poison,108.9,143.5,131,2047453,23,1495,Acid,Scald,Payback,7,8,3,50000
Golbat,82.7,42,poison,flying,117.7,116.2,139,1901391,28.5,1499,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Hippopotas (Shadow),82.7,449,ground,none,115.1,111.8,152,1955620,50,1500,Sand Attack,Rock Tomb,Body Slam,13,9,3,50000
Throh (Shadow),82.7,538,fighting,none,110.3,107.8,171,2032228,22,1499,Low Kick,Brick Break,Body Slam,5,5,5,75000
Bastiodon (Shadow),82.6,411,rock,steel,80.6,247.7,139,2775875,46.5,1496,Smack Down,Stone Edge,Flamethrower,7,7,5,75000
Trumbeak,82.6,732,normal,flying,134.1,93.3,134,1675846,48.5,1499,Peck,Drill Peck,Rock Blast,5,5,1,10000
Zapdos (Shadow),82.6,145,electric,flying,138.1,103.5,112,1601039,15,1489,Thunder Shock*,Drill Peck,Heat Wave,5,5,20,100000
Mantine,82.5,226,water,flying,105.5,166.6,121,2126860,27,1500,Wing Attack,Aerial Ace,Ice Beam,6,7,5,75000
Palossand,82.5,770,ghost,ground,116.6,123,134,1921866,23,1499,Astonish,Shadow Ball,Sand Tomb,5,4,3,50000
Pawmot,82.5,923,electric,fighting,145.1,95.5,112,1551733,21,1500,Thunder Shock,Brick Break*,Wild Charge,5,5,3,75000
Amaura,82.4,698,rock,ice,114.3,104.2,165,1964777,50,1500,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Electrode,82.4,101,electric,none,122.9,126.3,118,1831578,27,1500,Volt Switch,Discharge,Foul Play,3,3,3,50000
Golbat (Shadow),82.4,42,poison,flying,117.7,116.2,139,1901391,28.5,1499,Wing Attack,Poison Fang,Shadow Ball,5,7,1,10000
Lokix,82.4,920,bug,dark,132.9,104.1,122,1686502,24,1499,Sucker Punch,X-Scissor,Trailblaze,6,7,1,50000
Nidoqueen,82.4,31,poison,ground,116.6,118.5,139,1920313,22.5,1498,Mud Slap,Stone Edge,Poison Fang,6,4,3,50000
Palkia (Shadow),82.4,484,water,dragon,140.4,110,100,1543554,13.5,1473,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Pidgeot (Shadow),82.4,18,normal,flying,116.9,115.5,142,1917898,26.5,1499,Wing Attack*,Brave Bird,Air Cutter*,7,5,1,10000
Regirock,82.4,377,rock,none,104.5,179.9,114,2143693,17.5,1500,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Slowking (Galarian),82.4,199,poison,psychic,117.3,117.9,138,1909734,20.5,1499,Acid,Psyshock,Shadow Ball,5,7,3,50000
Bombirdier,82.3,962,flying,dark,127.8,117.2,117,1752237,22,1497,Sucker Punch,Fly,Rock Tomb,7,8,5,75000
Jumpluff,82.3,189,grass,flying,96.7,157,153,2322994,40.5,1499,Fairy Wind,Aerial Ace,Energy Ball,5,7,3,50000
Magcargo,82.3,219,fire,rock,110.9,156.4,117,2029369,36.5,1500,Ember,Rock Tomb,Overheat,6,7,1,10000
Typhlosion (Shadow),82.3,157,fire,none,132.8,108.9,117,1691315,19,1498,Incinerate,Blast Burn*,Thunder Punch,3,2,3,10000
Venusaur (Shadow),82.3,3,grass,poison,122.2,122.2,123,1835969,20.5,1500,Vine Whip,Frenzy Plant*,Sludge,6,5,3,10000
Fletchinder (Shadow),82.2,662,fire,flying,123.3,102.6,143,1810501,47.5,1495,Peck,Fly,Heat Wave,6,6,1,10000
Flygon,82.2,330,ground,dragon,127.9,109.6,125,1752409,21,1500,Dragon Tail,Sand Tomb,Twister,4,4,5,75000
Sandshrew (Alolan) (Shadow),82.2,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Gyro Ball,5,7,3,50000
Skeledirge,82.2,911,fire,ghost,121.2,109.7,139,1849333,18.5,1500,Incinerate,Torch Song,Shadow Ball,3,3,3,10000
Trevenant,82.2,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Seed Bomb,Shadow Ball,5,7,5,75000
Lurantis,82.1,754,grass,none,126.2,117.9,119,1770422,23,1495,Leafage,Leaf Blade,Superpower,5,5,3,50000
Magnezone,82.1,462,electric,steel,134.4,121.2,102,1661074,17,1497,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Snorlax,82.1,143,normal,none,108.4,102.3,187,2073265,17.5,1500,Lick,Body Slam,Superpower,12,14,5,75000
Wailord,82,321,water,none,118.4,67.4,237,1891875,24.5,1497,Rollout,Surf,Return<sup>†</sup>,4,6,1,10000
Whimsicott,81.9,547,grass,fairy,118.8,135,118,1892000,28,1499,Fairy Wind,Seed Bomb,Moonblast,5,7,1,10000
Armarouge,81.8,936,fire,psychic,132.2,109.6,117,1695222,17,1499,Incinerate,Psyshock,Heat Wave,2,3,5,50000
Hariyama (Shadow),81.8,297,fighting,none,125.6,76.1,186,1778366,19.5,1496,Force Palm,Upper Hand,Heavy Slam,4,5,3,50000
Hawlucha,81.8,701,fighting,flying,127.5,107.6,128,1756378,23,1497,Low Kick,Flying Press,Aerial Ace,5,6,5,75000
Farfetch'd (Galarian),81.7,83,fighting,none,137.6,99.7,119,1633523,37,1499,Fury Cutter,Leaf Blade,Brick Break,9,10,3,50000
Mew,81.7,151,psychic,none,120.5,119.4,129,1855163,16.5,1498,Shadow Claw,Wild Charge,Psyshock,6,5,20,100000
Quaquaval,81.7,914,water,fighting,137.7,98.6,120,1629772,18,1499,Wing Attack,Close Combat,Hydro Cannon*,6,5,3,10000
Dragonite,81.5,149,dragon,flying,135.8,107.3,113,1647398,14.5,1498,Dragon Breath,Thunder Punch,Superpower,10,10,5,75000
Salamence (Shadow),81.5,373,dragon,flying,143.5,93.1,117,1562473,14.5,1497,Dragon Tail,Fly,Brutal Swing,4,3,5,75000
Electivire (Shadow),81.4,466,electric,none,143.4,100.9,108,1562263,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Spinda,81.4,327,normal,none,110.1,110.1,142,1720678,50,1380,Sucker Punch,Rock Tomb,Icy Wind,8,7,3,50000
Girafarig (Shadow),81.3,203,normal,psychic,130.3,101.6,130,1720655,27.5,1499,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Snorlax (Shadow),81.3,143,normal,none,108.4,102.3,187,2073265,17.5,1500,Lick,Body Slam,Superpower,12,14,5,75000
Ursaring,81.3,217,normal,none,139.6,91.4,126,1607158,18.5,1500,Shadow Claw,Close Combat,Swift,6,5,3,50000
Donphan (Shadow),81.2,232,ground,none,125.3,113.2,126,1786397,18.5,1498,Mud Slap,Body Slam,Trailblaze,4,5,3,50000
Meganium,81.2,154,grass,none,110.8,139,131,2018472,23,1497,Vine Whip,Frenzy Plant*,Earthquake,6,9,3,10000
Naclstack,81.2,933,rock,none,100.8,147.1,142,2105603,50,1461,Mud Shot,Rock Tomb,Rock Blast,6,5,5,50000
Slowbro (Shadow),81.2,80,water,psychic,113.4,120.9,144,1974848,22,1500,Confusion,Drain Punch,Ice Beam,3,4,3,50000
Froslass (Shadow),81.1,478,ice,ghost,122.6,114.9,130,1831027,27.5,1499,Powder Snow,Avalanche,Shadow Ball,6,7,3,50000
Lairon,81.1,305,steel,rock,113.8,147.2,118,1976790,27,1500,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Lileep,81.1,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Grass Knot,Ancient Power,7,6,3,50000
Electrode (Shadow),81,101,electric,none,122.9,126.3,118,1831578,27,1500,Volt Switch,Discharge,Foul Play,3,3,3,50000
Flygon (Shadow),81,330,ground,dragon,127.9,109.6,125,1752409,21,1500,Dragon Tail,Sand Tomb,Twister,4,4,5,75000
Nidoqueen (Shadow),81,31,poison,ground,116.6,118.5,139,1920313,22.5,1498,Mud Slap,Stone Edge,Poison Fang,6,4,3,50000
Thundurus (Incarnate) (Shadow),81,642,electric,flying,148.1,95.5,107,1513826,16.5,1500,Thunder Shock,Thunder Punch,Brick Break,5,5,20,100000
Claydol (Shadow),80.9,344,ground,psychic,103.6,172.7,121,2164207,29,1500,Mud Slap,Rock Tomb,Shadow Ball,5,5,3,50000
Kartana,80.9,798,grass,steel,169.2,99.3,79,1327757,15,1500,Fury Cutter,Leaf Blade,Sacred Sword,9,9,20,100000
Typhlosion,80.9,157,fire,none,132.8,108.9,117,1691315,19,1498,Incinerate,Blast Burn*,Thunder Punch,3,2,3,10000
Heracross,80.8,214,bug,fighting,134.7,108.4,114,1664501,17.5,1500,Fury Cutter,Upper Hand,Rock Tomb,10,13,3,50000
Pumpkaboo (Super),80.8,710,ghost,grass,111.8,113.4,141,1787612,50,1414,Astonish,Grass Knot,Foul Play,5,4,5,75000
Quaxwell,80.8,913,water,none,125.4,103.5,138,1792214,34,1500,Wing Attack,Aqua Jet,Aerial Ace,5,6,3,10000
Rapidash (Galarian),80.8,78,psychic,fairy,133.7,111.5,112,1669979,22.5,1499,Fairy Wind,Body Slam,Wild Charge*,4,5,3,50000
Sylveon,80.8,700,fairy,none,117.3,124.7,130,1901632,18,1498,Charm,Psyshock*,Moonblast,5,8,5,75000
Toxicroak,80.8,454,poison,fighting,136.2,93.8,129,1648115,22.5,1499,Poison Sting,Dynamic Punch,Shadow Ball,5,6,3,50000
Bruxish,80.7,779,water,psychic,136.5,102.5,117,1636557,23,1495,Confusion,Aqua Tail,Psychic Fangs,3,3,3,50000
Fletchinder,80.7,662,fire,flying,123.3,102.6,143,1810501,47.5,1495,Peck,Fly,Heat Wave,6,6,1,10000
Golurk,80.7,623,ground,ghost,133.3,98.5,128,1681024,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Marshtomp,80.7,259,water,ground,119.9,111.5,140,1871384,34.5,1499,Mud Shot,Surf,Mud Bomb,5,5,3,10000
Pawniard,80.7,624,dark,steel,132,107.8,119,1692305,49,1497,Fury Cutter,Night Slash,X-Scissor,9,10,5,75000
Serperior,80.7,497,grass,none,110.2,142.3,130,2038328,25,1500,Vine Whip,Frenzy Plant*,Aerial Ace,6,6,3,10000
Ferrothorn,80.6,598,grass,steel,107.1,152.7,128,2094247,24.5,1499,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Nidorina,80.6,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Thunderbolt,5,7,3,50000
Poliwrath,80.6,62,water,fighting,115.8,122,137,1936317,21.5,1500,Counter*,Scald,Icy Wind,9,8,3,50000
Avalugg,80.5,713,ice,none,111.8,141.4,127,2006849,17.5,1500,Ice Fang,Avalanche,Body Slam,8,6,3,50000
Garganacl,80.5,934,rock,none,105.8,137.3,145,2107121,20.5,1494,Mud Shot,Rock Tomb,Rock Blast,6,5,5,50000
Girafarig,80.5,203,normal,psychic,130.3,101.6,130,1720655,27.5,1499,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Latios,80.5,381,dragon,psychic,139.4,112.9,102,1605573,14.5,1497,Dragon Breath,Aura Sphere,Luster Purge*,10,15,20,100000
Lugia,80.5,249,psychic,flying,102.4,167.1,127,2174273,15,1497,Dragon Tail,Fly,Aeroblast*,4,7,20,100000
Magneton,80.5,82,electric,steel,143.5,114.7,95,1562951,22,1499,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Magnezone (Shadow),80.5,462,electric,steel,134.4,121.2,102,1661074,17,1497,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Mamoswine (Shadow),80.5,473,ice,ground,136.2,87.4,138,1642085,16.5,1500,Powder Snow,Icicle Spear,Stone Edge,5,7,3,50000
Raticate (Alolan),80.5,20,dark,normal,107.1,130.2,150,2090786,36.5,1497,Quick Attack,Crunch,Return<sup>†</sup>,6,9,1,10000
Sceptile (Shadow),80.5,254,grass,none,135.6,109.3,111,1645623,20,1498,Fury Cutter,Leaf Blade,Breaking Swipe,9,13,3,10000
Drifblim (Shadow),80.4,426,ghost,flying,119.2,75.8,209,1886853,23.5,1500,Astonish,Icy Wind,Shadow Ball,5,5,5,75000
Garchomp,80.4,445,dragon,ground,132.5,101.5,126,1693583,14,1500,Dragon Tail,Twister,Sand Tomb,4,4,5,75000
Charizard (Shadow),80.3,6,fire,flying,132.8,108.9,117,1691315,19,1498,Ember*,Blast Burn*,Air Cutter,6,4,3,10000
Gurdurr (Shadow),80.3,533,fighting,none,125.3,100.1,143,1794633,26,1499,Low Kick,Brick Break,Stone Edge,5,7,5,75000
Hariyama,80.3,297,fighting,none,125.6,76.1,186,1778366,19.5,1496,Force Palm,Upper Hand,Heavy Slam,4,5,3,50000
Perrserker,80.3,863,steel,none,128.8,113.4,119,1737649,23,1500,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Raichu (Alolan),80.3,26,electric,psychic,135.5,109.9,111,1653242,24,1498,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Chesnaught,80.2,652,grass,fighting,119.4,126.9,124,1878859,19,1497,Low Kick,Frenzy Plant*,Superpower,6,5,3,10000
Genesect,80.2,649,bug,steel,141.1,111.7,100,1575465,16,1498,Fury Cutter,X-Scissor,Techno Blast (Normal)*,10,14,20,100000
Relicanth,80.2,369,water,rock,105.2,133.7,152,2137627,22.5,1499,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Vikavolt (Shadow),80.2,738,bug,electric,144.2,96.7,111,1547210,17.5,1494,Volt Switch*,X-Scissor,Discharge,3,3,1,10000
Latios (Shadow),80.1,381,dragon,psychic,140.5,113,99,1570884,14,1488,Dragon Breath,Aura Sphere,Luster Purge*,10,15,20,100000
Sceptile,79.9,254,grass,none,135.6,109.3,111,1645623,20,1498,Fury Cutter,Leaf Blade,Breaking Swipe,9,13,3,10000
Tapu Fini,79.9,788,water,fairy,115.9,158.3,105,1926493,20,1495,Water Gun,Surf,Nature's Madness*,15,17,20,100000
Victini,79.9,494,psychic,fire,120.5,119.4,129,1855163,16.5,1498,Confusion,V-Create,Psyshock,3,3,20,100000
Wartortle (Shadow),79.9,8,water,none,107.6,139.1,139,2080282,47.5,1496,Water Gun,Aqua Jet,Ice Beam,14,19,3,10000
Gurdurr,79.8,533,fighting,none,125.3,100.1,143,1794633,26,1499,Low Kick,Brick Break,Stone Edge,5,7,5,75000
Lairon (Shadow),79.8,305,steel,rock,113.8,147.2,118,1976790,27,1500,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Toxicroak (Shadow),79.8,454,poison,fighting,136.2,93.8,129,1648115,22.5,1499,Poison Sting,Dynamic Punch,Shadow Ball,5,6,3,50000
Tropius,79.8,357,grass,flying,101.4,128.1,170,2208146,29,1498,Air Slash,Leaf Blade,Brutal Swing,4,4,5,75000
Tyranitar,79.8,248,rock,dark,129.7,111.4,120,1734171,14.5,1500,Dragon Breath,Brutal Swing,Stone Edge,9,14,5,75000
Farfetch'd,79.7,83,normal,flying,116.8,109.2,131,1671469,50,1397,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,50000
Furfrou,79.7,676,normal,none,115.5,125.2,134,1937601,26.5,1496,Sucker Punch,Surf,Grass Knot,7,8,5,75000
Magnemite (Shadow),79.7,81,electric,steel,147.8,113.6,90,1511610,49,1496,Volt Switch,Magnet Bomb,Discharge,3,3,3,50000
Meowscarada,79.7,908,grass,dark,140.4,99.1,115,1600011,19.5,1498,Leafage,Frenzy Plant*,Night Slash,6,5,3,10000
Shiinotic (Shadow),79.7,756,grass,fairy,116.6,134.3,123,1925196,31,1499,Astonish,Seed Bomb,Moonblast,4,6,3,50000
Centiskorch,79.6,851,fire,bug,128.7,99.4,136,1739873,18.5,1500,Ember,Lunge,Heat Wave,5,5,5,75000
Machop (Shadow),79.6,66,fighting,none,127.7,81.5,157,1634495,50,1445,Karate Chop,Cross Chop,Brick Break,4,5,3,50000
Starmie,79.6,121,water,psychic,133.2,122,104,1689998,21.5,1500,Psywave,Surf,Power Gem,12,13,3,50000
Torterra,79.6,389,grass,ground,119.9,117,133,1867141,19,1498,Mud Slap,Frenzy Plant*,Sand Tomb,5,4,3,10000
Aron,79.5,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Sound,Rock Tomb,Body Slam,7,5,1,10000
Charizard,79.5,6,fire,flying,132.8,108.9,117,1691315,19,1498,Ember*,Blast Burn*,Air Cutter,6,4,3,10000
Incineroar,79.5,727,fire,dark,125.3,109.2,131,1791290,18.5,1497,Fire Fang,Brutal Swing,Blast Burn*,6,9,3,10000
Maushold,79.5,925,normal,none,116.2,122,136,1928003,28.5,1498,Mud Shot,Swift,Crunch,4,5,1,10000
Sirfetch'd,79.5,865,fighting,none,144.8,108,99,1548382,18.5,1500,Fury Cutter,Leaf Blade,Close Combat,9,12,3,50000
